area_id,area_name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
116021562,Acacia Gardens,86,117.2,83.5,90.7,52.9,76.1,33.3,48.8,42.1,54.1,73.1,73.3,901.1
119041375,Arncliffe - Bardwell Valley,80,104.9,111.1,102.4,93.2,111.1,80.2,65.7,55.5,63.3,68.2,73.6,1007.7
127011504,Ashcroft - Busby - Miller,52.6,153.6,65.7,59.6,53.9,76.3,34.8,22.4,35.6,54,74.6,65.9,764
120031390,Ashfield,103.3,115,120.8,100.6,94.3,113.6,65.3,73.2,56,73.1,84,76.2,1086.2
121021403,Asquith - Mount Colah,98.9,146.8,167,120.1,48.6,121.9,41.6,58.4,55.9,94.5,87.7,92.2,1156.9
125011582,Auburn - Central,84.4,109.8,66,89.2,88.2,75.8,63.5,56.7,52.7,64.9,76.2,58,911.8
125011583,Auburn - North,84.4,109.8,66,89.2,88.2,75.8,63.5,56.7,52.7,64.9,76.2,58,911.8
125011584,Auburn - South,84.4,109.8,66,89.2,88.2,75.8,63.5,56.7,52.7,64.9,76.2,58,911.8
127011505,Austral - Greendale,81.9,126.2,89.2,63,35.7,87.9,28.3,31.2,33.1,41,55.8,61.4,707.8
122021420,Avalon - Palm Beach,103.2,138.6,129.2,108.6,103,109.6,69.5,84.1,65.5,82.4,94.4,89.5,1152.4
102011028,Avoca Beach - Copacabana,75.6,169.2,140.5,83.6,70.5,140.8,80.9,90.4,58.6,68,101.8,80.5,1169.6
127011592,Badgerys Creek,79.2,100,62.2,63,52.3,53.6,29,52.1,31.5,42.1,72.1,67.1,690.9
122011418,Balgowlah - Clontarf - Seaforth,115.9,113.8,126.3,138.6,119.7,102.6,97.9,72.7,70.9,73.1,86,85.9,1225.6
120021387,Balmain,107.3,110.7,126.7,109.2,104.7,118.5,84.1,71.2,61.6,75.9,79.8,84,1129.9
117011320,Banksmeadow,92.8,105.4,114.9,116.9,119.3,129.1,79.1,74,69,68,79.6,72.8,1119.8
119011571,Bankstown - North,87.9,94.5,97,88.4,81.9,86.6,66.3,56.8,49.9,62.5,70.4,71.7,910
119011572,Bankstown - South,87.9,94.5,97,88.4,81.9,86.6,66.3,56.8,49.9,62.5,70.4,71.7,910
123031445,Bargo,92.2,122,87.8,69.5,49.9,65.5,35.2,50.3,44.1,62.9,88.4,75.6,843.4
119011354,Bass Hill - Georges Hall,92,107,105.1,80.9,63.6,79.6,44.3,49.6,44.4,60.3,74.9,67.2,868.9
102021044,Bateau Bay - Killarney Vale,99.1,135.2,120.8,142.1,86.6,116.6,52.2,44.6,50.4,56.5,90.1,76.7,1098.5
103011060,Bathurst Region,93,146.3,126.3,124.5,92.2,120.5,54.2,52,68.5,73.3,96.5,86.9,1155.2
115011290,Baulkham Hills (East),77.6,133.4,106.7,65.5,47.3,86.1,38.1,35.3,42.7,65.4,70.4,71.4,833
115011291,Baulkham Hills (West) - Bella Vista,128,132.9,141,150.2,178,180.2,181,206.1,193.8,206.7,190.6,150.1,1948.3
122021421,Bayview - Elanora Heights,119.4,180.4,116.8,170.1,115.9,120.3,77.3,96.3,66.3,81.2,122.4,96,1362.4
122031424,Beacon Hill - Narraweena,110.6,160.2,145.1,122.8,100.9,129,76.4,72.8,66.9,76.8,100.1,93.3,1254.9
119021362,Belmore - Belfield,78,115.2,95.1,94.8,73,107.2,57.3,61.8,48.1,63.2,73.8,64.1,931.6
125011585,Berala,90.9,113.1,112.7,94.5,83.4,125.9,53.5,45.2,51.3,63.7,73.2,68.2,975.6
121021404,Berowra - Brooklyn - Cowan,121.3,137.8,122.4,112.7,101.1,100.4,74.3,64.6,62.2,78.2,88.2,98.7,1161.9
119041376,Bexley,106,107.6,119.5,106.1,93.6,114,61.1,76.1,58.1,72.7,80.1,73.7,1068.6
116031313,Bidwill - Hebersham - Emerton,76.2,89.6,52.5,48.6,38.6,45.1,27.5,22.3,32.5,41.3,65.7,62.9,602.8
115031299,Bilpin - Colo - St Albans,138,194.7,154.4,92.1,61.7,79.9,47.5,53.7,52.5,73,111.4,117.5,1147.5
124011449,Blackheath - Megalong Valley,125.6,171.3,144.1,72.6,50.4,85.4,46.4,51.7,49.9,73.3,107.8,98.3,1076.8
